City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Sarangani,PH,5.4033,125.4636,83.16,69,100,3.56,overcast clouds
129,Klaksvik,FO,62.2266,-6.589,24.8,68,100,10.83,overcast clouds
130,Kindu,CD,-2.95,25.95,69.93,98,100,2.1,overcast clouds
131,Portland,US,45.5234,-122.6762,41.0,64,58,1.01,broken clouds
132,Nishihara,JP,26.1842,127.7558,75.2,60,40,19.57,scattered clouds
133,Port-Cartier,CA,50.0334,-66.8654,35.6,69,17,5.75,few clouds
134,Kununurra,AU,-15.7667,128.7333,100.4,27,83,5.75,broken clouds
135,Atuona,PF,-9.8,-139.0333,80.78,73,65,17.72,broken clouds
136,Micheweni,TZ,-4.9667,39.8333,81.05,79,79,8.95,moderate rain
137,Upernavik,GL,72.7868,-56.1549,11.41,83,68,7.23,broken clouds
138,Hambantota,LK,6.1241,81.1185,89.6,62,40,5.75,scattered clouds
139,Carnarvon,AU,-24.8667,113.6333,75.2,100,40,29.93,light rain
140,Neuquen,AR,-38.9516,-68.0591,51.8,66,0,4.61,clear sky
141,Vao,NC,-22.6667,167.4833,77.22,83,100,16.31,overcast clouds
142,Husavik,IS,66.0449,-17.3389,24.8,74,40,3.44,scattered clouds
143,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.0,98,56,2.15,broken clouds
144,Namalenga,TZ,-10.95,39.1,74.35,90,96,3.29,overcast clouds
145,Alta Floresta,BR,-9.8756,-56.0861,69.19,97,43,2.64,scattered clouds
146,Sioux Lookout,CA,50.1001,-91.917,37.4,87,90,4.61,light intensity drizzle
147,Nenjiang,CN,49.1833,125.2167,55.0,22,32,3.22,scattered clouds
148,Sale,MA,34.0389,-6.8166,55.0,100,4,5.68,clear sky
149,Bengkulu,ID,-3.8004,102.2655,84.85,67,28,8.66,scattered clouds
150,La Roda,ES,39.2167,-2.15,50.0,87,0,10.36,clear sky
151,Canico,PT,32.6333,-16.85,60.8,82,20,2.39,few clouds
152,Susaki,JP,33.3667,133.2833,64.4,45,40,9.22,scattered clouds
153,Prince Albert,CA,53.2001,-105.7677,32.0,80,20,9.22,light snow
154,Inhambane,MZ,-23.865,35.3833,78.8,83,20,6.08,few clouds
155,Ermelo,ZA,-26.5333,29.9833,66.2,63,0,1.14,clear sky
156,Rio Brilhante,BR,-21.8019,-54.5464,72.61,44,36,1.79,scattered clouds
